"ageID","sourceTypeID","survivalRate","relativeMAR","functioningACFraction","functioningACFractionCV"
"16","52","0.939999998","0.14741798","0.959999979","0"
"17","52","0.930000007","0.137981115","0.959999979","0"
"18","52","0.930000007","0.12854425","0.949999988","0"
"19","52","0.920000017","0.119107384","0.949999988","0"
"20","52","0.920000017","0.109670519","0.949999988","0"
"21","52","0.920000017","0.100233654","0.949999988","0"
"22","52","0.910000026","0.090796789","0.949999988","0"
"23","52","0.910000026","0.081359924","0.949999988","0"
"24","52","0.910000026","0.071923059","0.949999988","0"
"25","52","0.899999976","0.062486193","0.949999988","0"
"26","52","0.899999976","0.053049328","0.949999988","0"
"27","52","0.899999976","0.043612463","0.949999988","0"
"28","52","0.889999986","0.034175598","0.949999988","0"
"29","52","0.889999986","0.024738733","0.949999988","0"
"30","52","0.300000012","0.015301867","0.949999988","0"
"0","53","1","1","1","0"
"1","53","1","1","1","0"
"2","53","1","1","1","0"
"3","53","1","1","1","0"
"4","53","0.99000001","0.933192345","0.99000001","0"
"5","53","0.980000019","0.86638469","0.99000001","0"
"6","53","0.980000019","0.799577034","0.99000001","0"
"7","53","0.970000029","0.732769379","0.99000001","0"
"8","53","0.970000029","0.665961724","0.980000019","0"
"9","53","0.970000029","0.599154069","0.980000019","0"
"10","53","0.959999979","0.532346414","0.980000019","0"
"11","53","0.959999979","0.465538758","0.980000019","0"
"12","53","0.949999988","0.398731103","0.980000019","0"
"13","53","0.949999988","0.331923448","0.959999979","0"
"14","53","0.949999988","0.265115793","0.959999979","0"
"15","53","0.939999998","0.198308138","0.959999979","0"
"16","53","0.939999998","0.131500482","0.959999979","0"
"17","53","0.930000007","0.12821531","0.959999979","0"
"18","53","0.930000007","0.124930138","0.949999988","0"
"19","53","0.920000017","0.121644966","0.949999988","0"
"20","53","0.920000017","0.118359794","0.949999988","0"
"21","53","0.920000017","0.115074622","0.949999988","0"
"22","53","0.910000026","0.11178945","0.949999988","0"
"23","53","0.910000026","0.108504278","0.949999988","0"
"24","53","0.910000026","0.105219106","0.949999988","0"
"25","53","0.899999976","0.101933934","0.949999988","0"
"26","53","0.899999976","0.098648762","0.949999988","0"
"27","53","0.899999976","0.09536359","0.949999988","0"
"28","53","0.889999986","0.092078418","0.949999988","0"
"29","53","0.889999986","0.088793246","0.949999988","0"
"30","53","0.300000012","0.085508074","0.949999988","0"
"0","54","1","0.161961073","1","0"
"1","54","1","0.161961073","1","0"
"2","54","1","0.161961073","1","0"
"3","54","1","0.161961073","1","0"
"4","54","0.99000001","0.159707437","0.99000001","0"
"5","54","0.980000019","0.157453801","0.99000001","0"
"6","54","0.980000019","0.155200165","0.99000001","0"
"7","54","0.970000029","0.15294653","0.99000001","0"
"8","54","0.970000029","0.150692894","0.980000019","0"
"9","54","0.970000029","0.148439258","0.980000019","0"
"10","54","0.959999979","0.146185622","0.980000019","0"
"11","54","0.959999979","0.143931986","0.980000019","0"
"12","54","0.949999988","0.141678351","0.980000019","0"
"13","54","0.949999988","0.139424715","0.959999979","0"
"14","54","0.949999988","0.137171079","0.959999979","0"
"15","54","0.939999998","0.134917443","0.959999979","0"
