"yearID","countyID","sourceTypeID","activitytypeID","activitytype","activity"
"2007","49055","42","6","population","1"
"2007","49055","41","6","population","5"
"2007","49055","32","6","population","146"
"2007","49055","31","6","population","1881"
"2007","49055","21","6","population","2165"
"2007","49055","11","6","population","149"
"2006","49055","62","6","population","20"
"2006","49055","61","6","population","38"
"2006","49055","54","6","population","26"
"2006","49055","53","6","population","6"
"2006","49055","52","6","population","142"
"2006","49055","51","6","population","2"
"2006","49055","43","6","population","11"
"2006","49055","42","6","population","1"
"2006","49055","41","6","population","5"
"2006","49055","32","6","population","143"
"2006","49055","31","6","population","1841"
"2006","49055","21","6","population","2156"
"2006","49055","11","6","population","139"
"2005","49055","62","6","population","19"
"2005","49055","61","6","population","37"
"2005","49055","54","6","population","25"
"2005","49055","53","6","population","6"
"2005","49055","52","6","population","135"
"2005","49055","51","6","population","2"
"2005","49055","43","6","population","11"
"2005","49055","42","6","population","1"
"2005","49055","41","6","population","5"
"2005","49055","32","6","population","137"
"2005","49055","31","6","population","1771"
"2005","49055","21","6","population","2175"
"2005","49055","11","6","population","130"
"2004","49055","62","6","population","19"
"2004","49055","61","6","population","36"
"2004","49055","54","6","population","24"
"2004","49055","53","6","population","6"
"2004","49055","52","6","population","130"
"2004","49055","51","6","population","2"
"2004","49055","43","6","population","11"
"2004","49055","42","6","population","1"
"2004","49055","41","6","population","5"
"2004","49055","32","6","population","132"
"2004","49055","31","6","population","1706"
"2004","49055","21","6","population","2172"
"2004","49055","11","6","population","120"
"2003","49055","62","6","population","19"
"2003","49055","61","6","population","35"
"2003","49055","54","6","population","24"
"2003","49055","53","6","population","6"
"2003","49055","52","6","population","128"
"2003","49055","51","6","population","2"
"2003","49055","43","6","population","11"
"2003","49055","42","6","population","1"
"2003","49055","41","6","population","5"
"2003","49055","32","6","population","125"
"2003","49055","31","6","population","1612"
"2003","49055","21","6","population","2160"
"2003","49055","11","6","population","112"
"2002","49055","62","6","population","19"
"2002","49055","61","6","population","36"
"2002","49055","54","6","population","24"
"2002","49055","53","6","population","6"
"2002","49055","52","6","population","126"
"2002","49055","51","6","population","2"
"2002","49055","43","6","population","10"
"2002","49055","42","6","population","1"
"2002","49055","41","6","population","5"
"2002","49055","32","6","population","122"
"2002","49055","31","6","population","1576"
"2002","49055","21","6","population","2164"
"2002","49055","11","6","population","104"
"2001","49055","62","6","population","20"
"2001","49055","61","6","population","36"
"2001","49055","54","6","population","25"
"2001","49055","53","6","population","6"
"2001","49055","52","6","population","126"
"2001","49055","51","6","population","2"
"2001","49055","43","6","population","10"
"2001","49055","42","6","population","1"
"2001","49055","41","6","population","5"
"2001","49055","32","6","population","121"
"2001","49055","31","6","population","1558"
"2001","49055","21","6","population","2192"
"2001","49055","11","6","population","102"
"2000","49055","62","6","population","19"
"2000","49055","61","6","population","35"
"2000","49055","54","6","population","24"
"2000","49055","53","6","population","5"
"2000","49055","52","6","population","118"
"2000","49055","51","6","population","2"
"2000","49055","43","6","population","10"
"2000","49055","42","6","population","1"
"2000","49055","41","6","population","5"
"2000","49055","32","6","population","114"
"2000","49055","31","6","population","1473"
"2000","49055","21","6","population","2128"
"2000","49055","11","6","population","90"
"1999","49055","62","6","population","18"
"1999","49055","61","6","population","34"
"1999","49055","54","6","population","24"
"1999","49055","53","6","population","5"
"1999","49055","52","6","population","118"
"1999","49055","51","6","population","2"
"1999","49055","43","6","population","9"
"1999","49055","42","6","population","1"
"1999","49055","41","6","population","4"
"1999","49055","32","6","population","109"
"1999","49055","31","6","population","1400"
"1999","49055","21","6","population","2109"
"1999","49055","11","6","population","84"
"1990","49055","62","6","population","11"
"1990","49055","61","6","population","26"
"1990","49055","54","6","population","18"
"1990","49055","53","6","population","3"
"1990","49055","52","6","population","75"
"1990","49055","51","6","population","1"
"1990","49055","43","6","population","7"
"1990","49055","42","6","population","1"
"1990","49055","41","6","population","3"
"1990","49055","32","6","population","56"
"1990","49055","31","6","population","727"
"1990","49055","21","6","population","2286"
"1990","49055","11","6","population","76"
"2060","49057","62","6","population","547"
"2060","49057","61","6","population","1017"
"2060","49057","54","6","population","1281"
"2060","49057","53","6","population","435"
"2060","49057","52","6","population","9617"
"2060","49057","51","6","population","65"
"2060","49057","43","6","population","441"
"2060","49057","42","6","population","104"
"2060","49057","41","6","population","332"
"2060","49057","32","6","population","13646"
"2060","49057","31","6","population","135908"
"2060","49057","21","6","population","40672"
"2060","49057","11","6","population","6981"
"2059","49057","62","6","population","548"
"2059","49057","61","6","population","1019"
"2059","49057","54","6","population","1263"
"2059","49057","53","6","population","429"
"2059","49057","52","6","population","9481"
"2059","49057","51","6","population","64"
"2059","49057","43","6","population","437"
"2059","49057","42","6","population","103"
"2059","49057","41","6","population","329"
"2059","49057","32","6","population","13524"
"2059","49057","31","6","population","134697"
"2059","49057","21","6","population","40736"
"2059","49057","11","6","population","6939"
"2058","49057","62","6","population","549"
"2058","49057","61","6","population","1020"
"2058","49057","54","6","population","1245"
"2058","49057","53","6","population","423"
"2058","49057","52","6","population","9347"
"2058","49057","51","6","population","63"
"2058","49057","43","6","population","433"
"2058","49057","42","6","population","102"
"2058","49057","41","6","population","326"
"2058","49057","32","6","population","13403"
"2058","49057","31","6","population","133496"
"2058","49057","21","6","population","40800"
"2058","49057","11","6","population","6896"
"2057","49057","62","6","population","549"
"2057","49057","61","6","population","1021"
"2057","49057","54","6","population","1227"
"2057","49057","53","6","population","417"
"2057","49057","52","6","population","9215"
"2057","49057","51","6","population","63"
"2057","49057","43","6","population","429"
"2057","49057","42","6","population","101"
"2057","49057","41","6","population","323"
"2057","49057","32","6","population","13284"
"2057","49057","31","6","population","132307"
"2057","49057","21","6","population","40864"
"2057","49057","11","6","population","6854"
"2056","49057","62","6","population","550"
"2056","49057","61","6","population","1023"
"2056","49057","54","6","population","1210"
"2056","49057","53","6","population","411"
"2056","49057","52","6","population","9084"
"2056","49057","51","6","population","62"
"2056","49057","43","6","population","425"
"2056","49057","42","6","population","100"
"2056","49057","41","6","population","320"
"2056","49057","32","6","population","13166"
"2056","49057","31","6","population","131127"
"2056","49057","21","6","population","40928"
"2056","49057","11","6","population","6812"
"2055","49057","62","6","population","551"
"2055","49057","61","6","population","1024"
"2055","49057","54","6","population","1193"
"2055","49057","53","6","population","405"
"2055","49057","52","6","population","8955"
"2055","49057","51","6","population","61"
"2055","49057","43","6","population","421"
"2055","49057","42","6","population","99"
"2055","49057","41","6","population","317"
"2055","49057","32","6","population","13048"
"2055","49057","31","6","population","129959"
"2055","49057","21","6","population","40992"
"2055","49057","11","6","population","6771"
"2054","49057","62","6","population","552"
"2054","49057","61","6","population","1026"
"2054","49057","54","6","population","1176"
"2054","49057","53","6","population","399"
"2054","49057","52","6","population","8829"
"2054","49057","51","6","population","60"
"2054","49057","43","6","population","417"
"2054","49057","42","6","population","98"
"2054","49057","41","6","population","314"
"2054","49057","32","6","population","12932"
"2054","49057","31","6","population","128800"
"2054","49057","21","6","population","41056"
"2054","49057","11","6","population","6729"
"2053","49057","62","6","population","553"
"2053","49057","61","6","population","1027"
"2053","49057","54","6","population","1159"
"2053","49057","53","6","population","393"
"2053","49057","52","6","population","8703"
"2053","49057","51","6","population","59"
"2053","49057","43","6","population","413"
"2053","49057","42","6","population","97"
"2053","49057","41","6","population","311"
"2053","49057","32","6","population","12817"
"2053","49057","31","6","population","127653"
"2053","49057","21","6","population","41121"
"2053","49057","11","6","population","6688"
"2052","49057","62","6","population","553"
"2052","49057","61","6","population","1029"
"2052","49057","54","6","population","1143"
"2052","49057","53","6","population","388"
"2052","49057","52","6","population","8580"
"2052","49057","51","6","population","58"
"2052","49057","43","6","population","409"
"2052","49057","42","6","population","96"
"2052","49057","41","6","population","308"
"2052","49057","32","6","population","12702"
"2052","49057","31","6","population","126515"
"2052","49057","21","6","population","41185"
"2052","49057","11","6","population","6647"
"2051","49057","62","6","population","554"
"2051","49057","61","6","population","1030"
"2051","49057","54","6","population","1126"
"2051","49057","53","6","population","382"
"2051","49057","52","6","population","8459"
"2051","49057","51","6","population","57"
"2051","49057","43","6","population","405"
"2051","49057","42","6","population","95"
"2051","49057","41","6","population","305"
"2051","49057","32","6","population","12589"
